,0
1500,Florida International
1501,Louisiana Tech
1502,North Texas
1503,Charlotte
1504,UAB
1505,New Mexico State
1506,Rice
1507,Incarnate Word
1508,Baylor
1509,Army
1510,North Texas
1511,UTEP
1512,UAB
1513,Rice
1514,Texas A&M
1515,Old Dominion
1516,Southern Mississippi
1517,Florida Atlantic
1518,Louisiana Tech
1519,Georgia
1520,Purdue
1521,LSU
1522,Northern Illinois
1523,Ole Miss
1524,Nevada-Las Vegas
1525,Missouri
1526,South Carolina
1527,Florida
1528,Kentucky
1529,East Tennessee State
1530,Tennessee
1531,Pitt
1532,William & Mary
1533,Florida State
1534,Old Dominion
1535,Notre Dame
1536,Miami (FL)
1537,Duke
1538,Louisville
1539,North Carolina
1540,Georgia Tech
1541,Liberty
1542,Virginia Tech
1543,Clemson
1544,Florida
1545,Boston College
1546,Old Dominion
1547,Furman
1548,Duke
1549,Miami (FL)
1550,Rhode Island
1551,North Carolina
1552,Notre Dame
1553,Wake Forest
1554,Georgia Tech
1555,Pitt
1556,Virginia
1557,Kentucky
1558,Utah State
1559,Rice
1560,North Carolina
1561,Elon
1562,Boston College
1563,Louisville
1564,Florida State
1565,North Carolina State
1566,Virginia Tech
1567,Clemson
1568,Duke
1569,Syracuse
1570,Michigan State
1571,Eastern Washington
1572,California
1573,Hawaii
1574,BYU
1575,USC
1576,Stanford
1577,Arizona
1578,Oregon
1579,Utah
1580,Oregon State
1581,Colorado
1582,Washington State
1583,Boise State
1584,New Mexico State
1585,Northern Colorado
1586,Houston
1587,UCLA
1588,Utah
1589,Arizona State
1590,Colorado
1591,Oregon
1592,California
1593,Stanford
1594,Oregon State
1595,Washington
1596,Air Force
1597,James Madison
1598,Missouri
1599,North Carolina State
1600,Kansas
1601,Texas
1602,Iowa State
1603,Oklahoma
1604,Baylor
1605,Texas Tech
1606,Kansas State
1607,Oklahoma State
1608,Texas Christian
1609,Central Arkansas
1610,Florida International
1611,Louisville
1612,UAB
1613,Old Dominion
1614,Army
1615,Charlotte
1616,Marshall
1617,Florida Atlantic
1618,Arkansas
1619,Southern Mississippi
1620,Middle Tennessee State
1621,Western Michigan
1622,Monmouth
1623,Michigan State
1624,Georgia State
1625,Syracuse
1626,Central Michigan
1627,Toledo
1628,Miami (OH)
1629,Eastern Michigan
1630,Bowling Green
1631,Ball State
1632,Ohio
1633,Northern Illinois
1634,Western Kentucky
1635,South Florida
1636,Central Michigan
1637,Michigan
1638,Northwestern
1639,Kent State
1640,Michigan State
1641,Illinois
1642,Ohio State
1643,Iowa
1644,Nebraska
1645,Purdue
1646,Minnesota
1647,Ohio State
1648,Oregon
1649,Missouri
1650,Texas State
1651,Idaho
1652,Tulsa
1653,Nevada-Las Vegas
1654,San Diego State
1655,New Mexico
1656,Nevada
1657,Boise State
1658,Utah State
1659,Colorado State
1660,Air Force
1661,Georgia State
